Distance (cm),Time (µs),Temperature (°C)
44,2586,23
44,2580,23
44,2580,23
44,2610,23
44,2580,23
44,2587,23
44,2583,23
44,2580,23
44,2586,23
44,2580,23
44,2586,23
44,2586,23
44,2581,23
44,2586,23
44,2580,23
