Distance (cm),Time (µs),Temperature (°C)
63,3679,23
63,3685,23
63,3680,23
63,3679,23
63,3685,23
63,3679,23
63,3679,23
63,3709,23
63,3708,23
63,3703,23
63,3703,23
63,3709,23
63,3728,23
63,3703,23
63,3703,23
