Distance (cm),Time (µs),Temperature (°C)
5,325,23
5,319,23
5,325,23
5,325,23
5,319,23
5,325,23
5,324,23
5,319,23
5,324,23
5,325,23
5,319,23
5,318,23
5,325,23
5,324,23
5,319,23
