Distance (cm),Time (µs),Temperature (°C)
14,868,23
14,868,23
14,868,23
14,868,23
14,868,23
14,868,23
14,875,23
14,874,23
14,868,23
14,868,23
14,868,23
14,868,23
14,868,23
14,868,23
14,868,23
