Distance (cm),Time (µs),Temperature (°C)
83,4854,23
83,4855,23
83,4853,23
83,4854,23
83,4861,23
83,4861,23
83,4879,23
83,4855,23
83,4881,23
83,4855,23
83,4855,23
83,4866,23
83,4861,23
83,4880,23
83,4855,23
