Distance (cm),Time (µs),Temperature (°C)
74,4324,23
74,4349,23
74,4348,23
74,4323,23
74,4324,23
74,4317,23
74,4323,23
74,4323,23
74,4338,23
74,4323,23
74,4322,23
74,4317,23
74,4323,23
74,4328,23
74,4316,23
