Distance (cm),Time (µs),Temperature (°C)
53,3149,23
53,3145,23
54,3151,23
54,3150,23
54,3150,23
53,3149,23
54,3180,23
54,3173,23
54,3178,23
54,3178,23
54,3179,23
54,3179,23
54,3173,23
54,3159,23
54,3180,23
