Distance (cm),Time (µs),Temperature (°C)
24,1402,23
23,1345,23
24,1402,23
23,1345,23
24,1402,23
23,1396,23
24,1402,23
24,1403,23
24,1403,23
24,1402,23
23,1345,23
24,1402,23
23,1346,23
24,1402,23
23,1396,23
