Distance (cm),Time (µs),Temperature (°C)
35,2048,23
35,2048,23
35,2048,23
35,2049,23
35,2048,23
35,2046,23
33,1973,23
35,2048,23
35,2049,23
35,2048,23
35,2049,23
35,2048,23
35,2047,23
35,2047,23
35,2048,23
